,0
date,1872-11-30
home_team,Scotland
away_team,England
home_score,0
away_score,0
tournament,Friendly
city,Glasgow
country,Scotland
neutral,False
date,1873-03-08
home_team,England
away_team,Scotland
home_score,4
away_score,2
tournament,Friendly
city,London
country,England
neutral,False
date,1874-03-07
home_team,Scotland
away_team,England
home_score,2
away_score,1
tournament,Friendly
city,Glasgow
country,Scotland
neutral,False
date,1875-03-06
home_team,England
away_team,Scotland
home_score,2
away_score,2
tournament,Friendly
city,London
country,England
neutral,False
date,1876-03-04
home_team,Scotland
away_team,England
home_score,3
away_score,0
tournament,Friendly
city,Glasgow
country,Scotland
neutral,False
date,1876-03-25
home_team,Scotland
away_team,Wales
home_score,4
away_score,0
tournament,Friendly
city,Glasgow
country,Scotland
neutral,False
date,1877-03-03
home_team,England
away_team,Scotland
home_score,1
away_score,3
tournament,Friendly
city,London
country,England
neutral,False
date,1877-03-05
home_team,Wales
away_team,Scotland
home_score,0
away_score,2
tournament,Friendly
city,Wrexham
country,Wales
neutral,False
date,1878-03-02
home_team,Scotland
away_team,England
home_score,7
away_score,2
tournament,Friendly
city,Glasgow
country,Scotland
neutral,False
